"","coef","se","zval","pval","lb","ub","X","Y","time","corrected.Pval"
"33",0.281579518839361,0.16434903826846,1.7133018958067,0.0866570138070617,-0.0405445961668205,0.603703633845542,"ln_mpo2","t3_map","28 months",0.315116413843861
"34",-0.181185188545649,0.487436783150524,-0.371710126951371,0.710108684217678,-1.13656128352068,0.774190906429378,"ln_mpo2","t3_hr_mean","28 months",0.811552781963061
"35",0.0105804956583053,0.0310763469037709,0.340467806305168,0.73350426303926,-0.0503291442730857,0.0714901355896962,"ln_mpo2","t3_gcr_mean","28 months",0.815004736710289
"36",-0.0451846143208897,0.026225023547345,-1.7229580076188,0.084896119113441,-0.0965856604736859,0.00621643183190663,"ln_mpo2","t3_gcr_cpg12","28 months",0.315116413843861
"37",0.244341840911543,0.279025954079539,0.8756957456434,0.381195458782446,-0.302549029084353,0.79123271090744,"ln_mpo2","t3_saa_slope","28 months",0.586454551972993
"38",-0.000338903545935975,0.000380000868033308,-0.891849399423658,0.372473659545219,-0.00108370524728126,0.000405898155409309,"ln_mpo2","t3_cort_slope","28 months",0.586454551972993
"39",6.55134204570649,4.85277429157893,1.35001993747682,0.177009587683129,-2.96009556578822,16.0627796572012,"ln_mpo2","t3_residual_saa","28 months",0.432360350395851
"40",-0.00882492488370589,0.0125092244179777,-0.705473384187044,0.480515689764768,-0.0333430047429421,0.0156931549755303,"ln_mpo2","t3_residual_cort","28 months",0.640687586353023
"41",0.568505370313483,0.190992233690402,2.97658893939651,0.00291474525303525,0.194160592280295,0.942850148346672,"ln_neo2","t3_map","28 months",0.089778041618018
"42",0.749026804476668,0.522145143921513,1.43451837711481,0.151424388645019,-0.274377677609497,1.77243128656283,"ln_neo2","t3_hr_mean","28 months",0.432360350395851
"43",-0.0195807272327864,0.0384121695376967,-0.509753223221885,0.610224360475634,-0.0948685795266718,0.0557071250610991,"ln_neo2","t3_gcr_mean","28 months",0.739665891485617
"44",0.0328398012260959,0.0247048152832916,1.32928746276869,0.183753148918237,-0.0155816367291557,0.0812612391813476,"ln_neo2","t3_gcr_cpg12","28 months",0.432360350395851
"45",0.188171773586022,0.258418140187817,0.728167819214472,0.466510862593228,-0.318327781182099,0.694671328354144,"ln_neo2","t3_saa_slope","28 months",0.640687586353023
"46",0.00044231272237987,0.000352213827887088,1.2558073742683,0.209185817334542,-0.000248026380278822,0.00113265182503856,"ln_neo2","t3_cort_slope","28 months",0.464140540497521
"47",2.92230521267501,4.45920179920225,0.655342669891686,0.512247153978151,-5.8177303137614,11.6623407391114,"ln_neo2","t3_residual_saa","28 months",0.660964069649226
"48",0.0158973734145103,0.0119041610258376,1.33544677193173,0.181730165366702,-0.00743478219613134,0.0392295290251519,"ln_neo2","t3_residual_cort","28 months",0.432360350395851
"49",0.150002384427901,0.147561825184213,1.01653923188224,0.309372675182315,-0.139218792933156,0.439223561788959,"ln_L_conc_t2","t3_map","28 months",0.538039435099678
"50",-0.727291654587306,0.375747358684499,-1.93558687181081,0.0529183195367513,-1.46375647760892,0.00917316843431248,"ln_L_conc_t2","t3_hr_mean","28 months",0.241088461069488
"51",0.0616667266756995,0.0267740003167721,2.30323171532457,0.0212658092819482,0.0091896860548262,0.114143767296573,"ln_L_conc_t2","t3_gcr_mean","28 months",0.121518910182561
"52",-0.00433541884836171,0.0212751105692812,-0.203778910301954,0.838526274171643,-0.0460346355641528,0.0373637978674294,"ln_L_conc_t2","t3_gcr_cpg12","28 months",0.88265923597015
"53",0.005625224630324,0.155071027875757,0.0362751489261485,0.97106296517871,-0.298313990006159,0.309564439266807,"ln_L_conc_t2","t3_saa_slope","28 months",0.986875366689522
"54",-0.000416562840187103,0.00033997139124789,-1.2252879239576,0.220466756736322,-0.00108290676703297,0.000249781086658761,"ln_L_conc_t2","t3_cort_slope","28 months",0.464140540497521
"55",0.564704349947473,2.627435050177,0.214926093000636,0.829824940973894,-4.58506834839945,5.71447704829439,"ln_L_conc_t2","t3_residual_saa","28 months",0.88265923597015
"56",-0.0123629990482306,0.0105447875177928,-1.17242751713772,0.241025457131674,-0.0330307825831044,0.00830478448664324,"ln_L_conc_t2","t3_residual_cort","28 months",0.482050914263348
"57",-0.00284147074805464,0.172733465375663,-0.0164500303509512,0.986875366689522,-0.341399062884355,0.335716121388246,"ln_M_conc_t2","t3_map","28 months",0.986875366689522
"58",-1.09939508584116,0.386894185698306,-2.8415911287394,0.0044889020809009,-1.85770768980984,-0.341082481872479,"ln_M_conc_t2","t3_hr_mean","28 months",0.089778041618018
"59",0.0403168216409482,0.0282873561743185,1.42525944780767,0.154082217697737,-0.0151263964607161,0.0957600397426124,"ln_M_conc_t2","t3_gcr_mean","28 months",0.432360350395851
"60",-0.0081083402492728,0.01931103318114,-0.419881224024397,0.674572224721187,-0.0459579652843072,0.0297412847857616,"ln_M_conc_t2","t3_gcr_cpg12","28 months",0.793614382024926
"61",0.0834144568823384,0.151384513167363,0.551010503895597,0.581626474058388,-0.213299188925693,0.38012810269037,"ln_M_conc_t2","t3_saa_slope","28 months",0.727033092572984
"62",-0.000492730999719548,0.000367254191232971,-1.34166201906455,0.179705607225389,-0.00121254921453617,0.000227087215097075,"ln_M_conc_t2","t3_cort_slope","28 months",0.432360350395851
"63",1.97937562051507,2.70006387133416,0.733084739783217,0.463506746944256,-3.31274956729989,7.27150080833003,"ln_M_conc_t2","t3_residual_saa","28 months",0.640687586353023
"64",-0.0132856838424521,0.011628355403944,-1.14252474928191,0.253235964627388,-0.0360772604341824,0.00950589274927818,"ln_M_conc_t2","t3_residual_cort","28 months",0.482354218337882
